Unnamed: 0,spotId,raster,x,y,z,class,Date,roi,tissue_id,L.Lactic.acid_.M.Hm0,L.Lactic.acid_.M.Hm1,L.Lactic.acid_.M.Hm2,L.Lactic.acid_.M.Hm3,L.Malic.acid_.M.Hm0,L.Malic.acid_.M.Hm1,L.Malic.acid_.M.Hm2,L.Malic.acid_.M.Hm3,L.Malic.acid_.M.Hm4,L.Glutamine_.M.Hm0,L.Glutamine_.M.Hm1,L.Glutamine_.M.Hm2,L.Glutamine_.M.Hm3,L.Glutamine_.M.Hm4,L.Glutamine_.M.Hm5,L.Glutamic.acid_.M.Hm0,L.Glutamic.acid_.M.Hm1,L.Glutamic.acid_.M.Hm2,L.Glutamic.acid_.M.Hm3,L.Glutamic.acid_.M.Hm4,L.Glutamic.acid_.M.Hm5,Citric.acid_.M.Hm0,Citric.acid_.M.Hm1,Citric.acid_.M.Hm2,Citric.acid_.M.Hm3,Citric.acid_.M.Hm4,Citric.acid_.M.Hm5,Citric.acid_.M.Hm6,D.Glucose_.M.Clm0,D.Glucose_.M.Clm1,D.Glucose_.M.Clm2,D.Glucose_.M.Clm3,D.Glucose_.M.Clm4,D.Glucose_.M.Clm5,D.Glucose_.M.Clm6,Glutathione_.M.Hm0,Glutathione_.M.Hm1,Glutathione_.M.Hm2,Glutathione_.M.Hm3,Glutathione_.M.Hm4,Glutathione_.M.Hm5,Glutathione_.M.Hm6,Glutathione_.M.Hm7,Glutathione_.M.Hm8,Glutathione_.M.Hm9,Glutathione_.M.Hm10,Adenosine.monophosphate_.M.Hm0,Adenosine.monophosphate_.M.Hm1,Adenosine.monophosphate_.M.Hm2,Adenosine.monophosphate_.M.Hm3,Adenosine.monophosphate_.M.Hm4,Adenosine.monophosphate_.M.Hm5,Adenosine.monophosphate_.M.Hm6,Adenosine.monophosphate_.M.Hm7,Adenosine.monophosphate_.M.Hm8,Adenosine.monophosphate_.M.Hm9,Adenosine.monophosphate_.M.Hm10
91758,91757,2,10369.26563,7365.681641,0,normal,,l1normal,tracer_1,719.7588501,810.9958496,0,0,6351.111328,1348.28064,0,0,0,2635.736572,1034.019775,648.7966919,0,0,0,15150.41699,2752.317139,826.2020264,0,0,0,4749.394531,1140.462891,729.8963013,0,0,3781.268311,826.2020264,3831.955566,0,0,993.4699097,628.5217896,613.3156128,0,18034.52148,5808.757813,5246.129395,2149.13916,2052.833252,993.4699097,0,0,0,0,0,866.7518311,0,572.7658081,0,567.6970825,0,0,0,628.5217896,0,0
91759,91758,2,10419.26563,7365.681641,0,normal,,l1normal,tracer_1,0,0,0,0,8910.673828,1934.418701,0,0,0,5479.138184,0,823.1569214,0,0,0,15439.33691,2901.628174,1250.169556,920.9067993,0,0,5854.703613,1733.77417,890.0383911,0,0,0,0,3246.324951,668.8150024,0,668.8150024,0,0,0,28121.09766,9605.211914,7717.095703,4388.455078,1527.984985,936.3409424,540.1967163,0,0,0,761.420105,0,0,550.486145,119.5039139,0,0,0,0,0,0,0
91864,91863,2,9269.265625,7315.681641,0,normal,,l1normal,tracer_1,1289.553345,0,0,0,8146.877441,1112.447266,0,0,0,5407.268555,2374.327881,0,0,0,0,13581.81934,1843.009644,719.4932861,0,0,0,2667.659668,1123.516357,1178.862061,0,0,4732.051758,0,4471.927246,713.9586792,0,0,0,0,0,17782.55273,6890.531738,5169.282227,1040.497925,1361.502686,1322.798462,0,0,0,229.3461151,0,0,0,0,741.6315308,0,0,0,0,658.6130981,0,0
91865,91864,2,9319.265625,7315.681641,0,normal,,l1normal,tracer_1,0,0,0,0,11237.87012,1250.388794,0,0,0,6470.762207,539.6039429,760.6531982,0,0,0,16291.52441,1719.284668,1583.825806,0,0,0,5017.185059,1729.70459,0,0,0,0,0,4001.244385,0,0,2146.500732,0,0,0,17349.14453,4266.952148,4058.553711,1833.903687,844.0124512,718.9735718,0,0,0,0,0,870.0622559,0,0,950.6710205,0,0,599.1446533,0,0,0,0
91866,91865,2,9369.265625,7315.681641,0,normal,,l1normal,tracer_1,0,1054.105225,870.5250854,0,6780.620605,2599.731445,0,0,0,3251.144775,923.8225708,597.9282837,0,0,0,17363.12695,3944.011719,1148.856323,0,0,0,7313.595215,0,1444.953247,0,0,4725.708008,1208.075684,5726.515625,0,0,852.7592773,686.9450073,0,0,24955.05273,7171.46875,5406.730957,1788.425781,1776.581909,1101.480713,0,0,0,0,0,1321.814453,0,0,686.9450073,0,0,0,0,0,0,0
91867,91866,2,9419.265625,7315.681641,0,normal,,l1normal,tracer_1,0,0,0,0,5523.355469,1400.482666,0,0,0,4256.912598,873.5683594,0,0,0,0,13422.44727,1867.310181,1137.025513,711.7964478,0,0,4136.739258,0,1548.388428,0,0,4543.47998,0,6235.152344,905.9227905,0,1941.263062,517.670166,0,0,13200.58887,5102.748535,1054.435791,1710.160278,929.03302,1076.938843,515.9102173,0,0,0,0,0,0,684.0641479,841.2139893,0,868.9463501,0,0,0,0,0
91868,91867,2,9469.265625,7315.681641,0,normal,,l1normal,tracer_1,0,0,0,0,7946.625488,617.3574829,0,0,0,5985.898438,1221.979492,671.6849365,0,0,0,14826.45801,4217.786621,933.444519,0,0,0,3733.778076,1282.676758,721.0735474,0,0,3467.07959,0,4079.498291,888.994812,0,948.2611084,716.1347046,0,0,13285.5332,7279.879395,3160.870361,1921.216553,1535.985474,597.6020508,0,0,0,0,0,800.0953369,0,0,0,0,0,233.2560883,0,0,0,0
91869,91868,2,9519.265625,7315.681641,0,normal,,l1normal,tracer_1,0,0,0,0,8432.335938,916.9251709,0,0,0,5445.297852,849.4214478,0,0,0,0,19531.06836,2030.736084,911.2998657,973.1782227,0,0,5737.813965,714.4140625,1203.815918,0,0,0,0,4837.764648,0,0,815.6696167,624.4091797,675.0369263,0,13112.59277,6035.955078,5439.672363,2199.495361,607.5332642,1186.939941,0,0,0,0,0,765.0418701,0,0,0,0,0,714.4140625,590.6572876,585.0319824,0,0
91870,91869,2,9569.265625,7315.681641,0,normal,,l1normal,tracer_1,0,0,0,0,7299.671875,2417.762695,0,0,0,5508.092285,0,0,0,0,0,17237.42969,3496.189209,1119.012451,0,0,0,5716.820313,1252.366211,1072.62854,0,0,6371.993164,0,5693.62793,927.6787109,0,1490.083984,0,0,0,14837.06152,5560.274414,4545.625488,1808.973511,788.5269165,0,0,0,0,0,0,701.5570068,0,0,0,0,0,0,0,0,0,0
91871,91870,2,9619.265625,7315.681641,0,normal,,l1normal,tracer_1,1653.996704,0,0,0,8885.007813,913.5794067,1098.683716,0,0,5624.783203,0,279.0775146,0,0,0,22636.46875,3045.264893,0,0,0,0,5284.430176,2203.338623,0,0,0,4066.324219,0,8055.023926,1265.874756,0,1695.794556,0,0,0,22964.87891,6627.929199,6102.47168,2048.089844,1737.592285,1349.470215,0,0,0,0,0,829.9839478,0,0,0,0,0,0,710.5617676,0,0,871.7816772
